,imagerow,imagecol
barcode_1,500.5,500.0
barcode_2,501.5,500.0
barcode_3,503.5,500.0
barcode_4,504.5,500.0
barcode_5,500.0,499.133974596215
barcode_6,501.0,499.133974596215
barcode_7,503.0,499.133974596215
barcode_8,504.0,499.133974596215
barcode_9,500.5,496.53589838486005
barcode_10,501.5,496.53589838486005
barcode_11,503.5,496.53589838486005
barcode_12,504.5,496.53589838486005
barcode_13,500.0,495.66987298107506
barcode_14,501.0,495.66987298107506
barcode_15,503.0,495.66987298107506
barcode_16,504.0,495.66987298107506
